No.,Name,Ele. (m),Prom. (m),County/City,Township
1,玉山,3952,3952,南投縣,信義鄉
2,雪山,3878,1928,台中市,和平區
3,麻荖漏山,1676,1408,花蓮縣,富里鄉
4,北大武山,3077,1397,屏東縣,泰武鄉
5,南湖大山,3735,1241,台中市,和平區
6,白姑大山,3336,1206,台中市,和平區
7,七星山,1109,1054,台北市,北投區
8,秀姑巒山,3825,1017,南投縣,信義鄉
9,關山,3656,1009,高雄市,桃源區
10,水社大山副峰,2121,980,南投縣,信義鄉
11,塔曼山,2131,974,桃園市,復興區
12,奇萊北峰,3593,958,花蓮縣,秀林鄉
13,卓社大山,3359,875,南投縣,仁愛鄉
14,東郡大山,3607,832,南投縣,信義鄉
15,露門山,1458,807,新北市,烏來區
16,守城大山,2417,778,南投縣,仁愛鄉
17,泰矢生山,2440,760,桃園市,復興區
18,集集大山,1388,754,南投縣,集集鎮
19,蘭崁山,1471,746,宜蘭縣,南澳鄉
20,八里灣山,913,743,花蓮縣,瑞穗鄉
21,雲峰,3559,730,高雄市,桃源區
22,飯包山,1854,710,宜蘭縣,南澳鄉
23,北合歡山,3419,707,南投縣,仁愛鄉
24,里龍山,1056,707,屏東縣,獅子鄉
25,郡大山,3270,690,南投縣,信義鄉
26,向陽山,3594,679,台東縣,海端鄉
27,都蘭山,1188,676,台東縣,延平鄉
28,新望嶺,2475,648,高雄市,那瑪夏區
29,霧頭山,2727,647,台東縣,卑南鄉
30,中央尖,3693,640,台中市,和平區
31,三角南山,1181,630,嘉義縣,大埔鄉
32,巒潭山,2840,622,南投縣,信義鄉
33,治茆山,2905,619,南投縣,信義鄉
34,三角錐山,2602,594,花蓮縣,秀林鄉
35,無名山,3444,594,花蓮縣,秀林鄉
36,新康山,3334,585,花蓮縣,卓溪鄉
37,能高南峰,3341,581,南投縣,仁愛鄉
38,曉星山南峰,2647,577,花蓮縣,秀林鄉
39,島俱子山,2347,558,新竹縣,尖石鄉
40,大雪山,3524,552,台中市,和平區
41,樟湖山,1387,551,南投縣,鹿谷鄉
42,大安山副峰,2825,549,花蓮縣,萬榮鄉
43,石楠花山,2045,544,宜蘭縣,南澳鄉
44,紅頭山,543,543,台東縣,蘭嶼鄉
45,西鳳林山,2026,538,花蓮縣,萬榮鄉
46,榆油山,1890,535,高雄市,桃源區
47,南大武山,2831,532,屏東縣,泰武鄉
48,鹿場大山,2610,515,苗栗縣,泰安鄉
49,大母母山,2422,512,屏東縣,霧台鄉
50,八里觀音山,601,497,新北市,八里區
51,出雲山,2769,494,高雄市,茂林區
52,規那山,1393,489,台東縣,金峰鄉
53,關刀山,886,488,苗栗縣,大湖鄉
54,李棟山,1911,480,桃園市,復興區
55,刣牛湖山,793,476,台南市,南化區
56,五分山,756,473,新北市,平溪區
57,合歡東峰,3415,469,南投縣,仁愛鄉
58,大漢山,1687,469,屏東縣,春日鄉
59,大檜山,2730,465,花蓮縣,秀林鄉
60,燦光寮山,730,464,新北市,雙溪區
61,鶯子嶺,1001,462,宜蘭縣,礁溪鄉
